game_id,positive_reviews,total_reviews
933710,2,5
933740,0,0
933430,0,0
933440,0,0
933450,8,13
933540,0,0
933060,1,2
933070,0,2
933080,9,16
933090,1,1
933120,0,0
933140,9,9
933160,0,0
933200,0,0
933210,2,2
933250,0,0
933290,0,0
933300,5,6
933360,0,0
933380,0,0
933390,0,0
932730,3,4
932790,2,2
932810,0,0
932820,4,4
932830,0,0
932850,137,161
932870,0,0
932920,0,1
932930,1,3
932940,2,2
932970,0,0
932980,69,100
933000,0,0
933030,3,5
933040,0,0
933050,1,2
932240,0,0
932250,0,0
932270,2,2
932290,1,1
932300,0,0
932310,1,5
932330,8,8
932350,0,0
932420,2,2
932450,2,2
932480,3,4
932490,3,4
932500,48,49
932560,0,0
932570,0,0
931760,0,0
931820,0,0
931830,6,9
931870,0,0
931880,0,0
931930,23,25
932050,0,0
932070,0,0
932090,0,0
932120,1,2
932150,0,0
932160,1,4
932170,0,0
932180,1,2
932210,0,0
932220,0,0
931200,2,2
931210,1,1
931220,0,0
931250,1,4
931260,2,2
931280,0,0
931360,1,1
931430,2,3
931450,0,0
931470,0,0
931490,1,5
931500,29,30
931540,3,4
931560,0,0
931570,2,2
931590,0,0
931610,0,0
931620,3,3
931630,4,5
931700,0,0
930840,0,0
930850,0,0
930860,0,0
930910,0,0
930930,3,3
930940,2,3
930970,0,1
931040,2,2
931060,0,0
931070,0,0
931090,1,1
931120,0,0
931140,0,0
931150,2,2
931170,2,2
930580,1,3
930600,0,0
930630,4,4
930640,4,4
930650,0,1
930690,3,3
930700,0,0
930710,3,3
930780,41,51
930030,0,0
930110,0,0
930150,0,0
930230,0,0
930280,0,0
930290,0,0
930300,1,1
930310,2,2
930320,4,4
930330,0,0
930360,0,0
930420,0,0
930430,2,2
930450,0,0
930460,30,34
930470,0,0
930480,1,1
929910,0,0
930010,1,1
929400,0,0
929410,1,1
929420,0,1
929430,3,5
929440,0,0
929450,0,0
929460,0,0
929470,0,0
929490,0,0
929510,0,0
929530,0,0
929540,0,0
929600,3,5
929610,0,0
929640,0,0
929660,0,0
929670,2,2
929690,0,0
929730,0,0
929750,0,0
929770,0,0
929800,1,2
929810,0,0
929840,0,0
929850,6,6
929000,8,8
929010,0,0
